0.118, -0.006, -1.000,0.000, 0.000, 2.306e-10, 0.191, 0.184
0.118, -0.925, -1.000,0.000, 0.000, 1.853e-10, 0.191, 0.184
0.118, -0.557, -1.000,0.000, 0.000, 1.195e-10, 0.191, 0.184
0.118, -1.109, -1.000,0.000, 0.000, 7.980e-11, 0.191, 0.184
0.118, -0.741, -1.000,0.000, 0.000, 6.434e-11, 0.191, 0.184
0.118, -0.373, -1.000,0.000, 0.000, 6.138e-11, 0.191, 0.184
0.118, -0.189, -1.000,0.000, 0.000, 2.468e-11, 0.191, 0.184
-0.073, -0.925, -1.000,0.000, 0.000, 5.137e-12, 0.191, 0.184
-0.073, -1.109, -1.000,0.000, 0.000, 2.517e-12, 0.191, 0.184
0.118, 0.362, -1.000,0.000, 0.000, 1.577e-12, 0.191, 0.184
-0.835, 0.546, -1.000,0.000, 0.000, 1.034e-12, 0.191, 0.184
0.118, 0.178, -1.000,0.000, 0.000, 9.227e-13, 0.191, 0.184
-0.835, 0.730, -1.000,0.000, 0.000, 8.342e-13, 0.191, 0.184
-0.264, -0.925, -1.000,0.000, 0.000, 6.532e-13, 0.191, 0.184
0.118, 0.546, -1.000,0.000, 0.000, 3.227e-13, 0.191, 0.184
0.118, -1.293, -1.000,0.000, 0.000, 3.012e-13, 0.191, 0.184
-0.073, 0.362, -1.000,0.000, 0.000, 2.263e-13, 0.191, 0.184
-0.073, 0.546, -1.000,0.000, 0.000, 2.063e-13, 0.191, 0.184
-0.073, -0.373, -1.000,0.000, 0.000, 1.479e-13, 0.191, 0.184
-0.073, -0.557, -1.000,0.000, 0.000, 1.354e-13, 0.191, 0.184
-0.454, 0.362, -1.000,0.000, 0.000, 1.068e-13, 0.191, 0.184
-0.264, 0.362, -1.000,0.000, 0.000, 8.841e-14, 0.191, 0.184
-0.073, -0.189, -1.000,0.000, 0.000, 7.140e-14, 0.191, 0.184
-0.073, -0.741, -1.000,0.000, 0.000, 7.075e-14, 0.191, 0.184
-0.264, 0.546, -1.000,0.000, 0.000, 5.187e-14, 0.191, 0.184
-0.645, 0.362, -1.000,0.000, 0.000, 4.231e-14, 0.191, 0.184
-0.645, 0.546, -1.000,0.000, 0.000, 3.513e-14, 0.191, 0.184
-0.264, 0.730, -1.000,0.000, 0.000, 3.197e-14, 0.191, 0.184
-0.454, 0.546, -1.000,0.000, 0.000, 2.997e-14, 0.191, 0.184
-0.264, -0.373, -1.000,0.000, 0.000, 2.545e-14, 0.191, 0.184
-0.264, -0.557, -1.000,0.000, 0.000, 1.688e-14, 0.191, 0.184
-0.645, 0.730, -1.000,0.000, 0.000, 1.185e-14, 0.191, 0.184
-0.835, 0.362, -1.000,0.000, 0.000, 1.131e-14, 0.191, 0.184
-0.454, 0.730, -1.000,0.000, 0.000, 9.570e-15, 0.191, 0.184
-0.073, -1.293, -1.000,0.000, 0.000, 8.719e-15, 0.191, 0.184
-0.264, -0.741, -1.000,0.000, 0.000, 8.582e-15, 0.191, 0.184
-0.264, -0.006, -1.000,0.000, 0.000, 8.379e-15, 0.191, 0.184
-0.073, -0.006, -1.000,0.000, 0.000, 5.219e-15, 0.191, 0.184
-0.454, 0.178, -1.000,0.000, 0.000, 2.923e-15, 0.191, 0.184
-0.454, -0.006, -1.000,0.000, 0.000, 2.548e-15, 0.191, 0.184
-0.264, -1.109, -1.000,0.000, 0.000, 2.203e-15, 0.191, 0.184
-0.264, 0.178, -1.000,0.000, 0.000, 2.156e-15, 0.191, 0.184
-0.073, 0.178, -1.000,0.000, 0.000, 1.976e-15, 0.191, 0.184
-1.026, 0.362, -1.000,0.000, 0.000, 1.496e-15, 0.191, 0.184
-1.026, 0.546, -1.000,0.000, 0.000, 1.417e-15, 0.191, 0.184
-0.264, -1.293, -1.000,0.000, 0.000, 1.272e-15, 0.191, 0.184
-1.026, 0.730, -1.000,0.000, 0.000, 1.199e-15, 0.191, 0.184
